,year,selling_price,km_driven,fuel,seller_type,transmission,owner
168,2015,400000,100000,0,0,0,2
169,2012,175000,80000,1,0,0,2
170,2011,120000,90000,1,0,0,1
171,2013,320000,90000,0,0,0,1
172,2006,70000,110000,1,0,0,2
173,2019,810000,15000,1,0,0,0
174,2007,95000,100000,1,0,0,1
175,2020,282000,40000,2,0,0,0
176,2004,80000,60000,1,0,0,1
177,2013,72000,25000,1,0,0,0
178,2016,600000,25000,1,0,0,0
179,2015,640000,23000,1,0,0,0
180,2018,380000,22155,1,0,0,0
181,2018,650000,70000,1,0,0,0
182,2009,150000,60000,1,0,0,1
183,2009,280000,110000,1,0,0,1
184,2018,430000,30000,1,0,0,0
185,2019,800000,15000,0,0,0,0
186,2003,75000,100000,0,0,0,1
187,2016,650000,70000,0,0,1,0
188,2017,390000,24000,1,0,0,0
189,2005,100000,120000,1,0,0,1
190,2013,1500000,35000,0,0,1,0
191,2007,175000,78380,1,0,0,0
192,2012,434999,110000,0,0,0,1
193,2010,170000,90000,0,0,0,2
194,2011,190000,90000,0,0,0,2
195,2009,250000,150000,0,0,0,2
196,2009,229999,230000,0,0,0,2
197,2006,140000,70000,1,0,0,2
198,2017,600000,80362,0,0,0,0
199,2012,280000,110000,1,0,0,2
200,2012,150000,60000,0,0,0,0
201,2015,650000,50000,0,0,1,0
202,2014,210000,40000,1,0,0,1
203,2017,2900000,40000,0,0,1,0
204,2013,425000,20000,0,1,0,0
205,2014,265000,55000,1,1,0,0
206,2018,890000,1136,1,1,0,0
207,2013,365000,55000,1,1,0,0
208,2014,350000,43000,1,1,0,0
209,2016,685000,60000,0,0,0,0
210,2018,940000,2650,0,1,0,0
211,2017,1000000,40000,0,0,0,0
212,2019,1150000,15000,1,1,0,0
213,2016,450000,115962,0,0,0,1
214,2015,590000,65000,0,1,0,0
215,2017,800000,40000,0,0,0,0
216,2012,385000,58000,0,1,0,0
217,2013,2000000,15000,0,0,1,0
218,2012,235000,54000,1,1,0,0
219,2017,640000,56000,0,1,0,0
220,2006,52000,120000,1,0,0,2
221,2009,80000,90000,3,0,0,1
222,2012,140000,70000,1,0,0,1
223,2008,120000,90000,1,0,0,1
224,2008,89999,213000,0,0,0,0
225,2012,180000,120000,0,0,0,0
226,2017,1500000,20000,0,0,0,0
227,2017,700000,10000,1,0,0,0
228,2012,285000,80000,0,0,0,1
229,2015,390000,90000,1,0,0,0
230,2008,125000,80000,1,0,0,0
231,2008,225000,60000,1,0,0,1
232,2011,175000,139000,1,0,0,1
233,2011,1075000,160000,0,0,0,1
234,2014,300000,150000,0,0,0,0
235,2010,700000,163000,0,0,0,3
236,2009,90000,120000,0,1,0,0
237,2011,120000,120000,0,0,0,1
238,2012,220000,100000,0,0,0,1
239,2015,300000,140000,0,1,0,0
240,2010,180000,87000,0,1,0,1
241,2013,170000,70000,1,0,0,0
242,2015,300000,50000,1,0,0,1
243,2014,1050000,70000,0,0,0,0
244,2014,300000,150000,0,0,0,0
245,2018,465000,25000,0,0,0,0
246,2011,130000,80000,0,0,0,1
247,2018,434999,10000,1,0,0,0
248,2018,500000,32000,1,0,0,0
249,2018,200000,10000,1,0,0,0
250,2017,625000,52000,1,1,0,0
251,2006,110000,120000,0,0,0,2
252,2019,800000,11240,1,0,0,0
253,2017,490000,66000,0,1,0,0
254,2017,880000,64000,0,1,0,0
255,2013,290000,49000,1,0,0,0
256,2006,115999,100000,0,0,0,1
257,2018,360000,26500,1,0,0,0
258,2002,65000,100000,1,0,0,1
259,2017,685000,72000,0,1,0,0
260,2009,300000,50000,1,0,0,0
261,2017,680000,44000,0,1,0,0
262,2017,1000000,60000,0,0,0,1
263,2002,100000,120000,0,0,0,0
264,2010,160000,130000,0,0,0,0
265,2017,450000,70000,0,0,0,0
266,2014,600000,20000,1,0,0,0
267,2009,180000,60000,0,0,0,1
268,2007,100000,195000,1,0,0,0
269,2010,120000,90000,1,0,0,1
270,2006,130000,80000,1,0,0,2
271,2011,160000,155000,1,0,0,0
272,2019,860000,35000,0,0,0,0
273,2018,650000,20000,1,0,0,1
274,2010,100000,80000,1,0,0,1
275,2017,282000,20000,1,0,0,0
276,2009,300000,50000,1,0,0,0
277,2010,270000,110000,1,0,0,1
278,2013,550000,29000,0,0,0,0
279,2013,450000,120000,0,0,0,0
280,2011,430000,70000,0,0,0,1
281,2013,350000,40000,1,0,0,0
282,2017,350000,20000,1,0,0,0
283,2013,229999,50000,1,0,0,1
284,2013,110000,50000,1,0,0,0
285,2012,395000,49000,1,0,0,1
286,2011,650000,70000,0,0,1,1
287,2011,350000,90000,0,0,0,1
288,2020,1400000,25000,0,1,0,0
289,2018,360000,4000,1,0,0,0
290,2018,1300000,10000,0,0,0,0
291,2015,800000,15000,0,0,0,0
292,2018,229999,30000,1,0,0,0
293,2014,315000,41000,1,1,0,0
294,2012,125000,28000,1,0,0,0
295,2019,700000,16000,1,0,0,0
296,2015,160000,70000,1,0,0,0
297,2017,530000,10832,1,1,0,0
298,2018,624000,14681,0,1,0,0
299,2009,250000,50000,1,0,0,0
300,2016,585000,51000,0,1,0,0
301,2015,500000,25000,1,0,0,0
302,2014,350000,30000,1,0,0,0
303,2014,495000,80000,0,1,0,0
304,2017,500000,50000,1,0,0,0
305,2015,430000,200000,0,0,0,0
306,2013,345000,44000,1,1,0,0
307,2015,500000,10000,1,0,0,0
308,2019,425000,19600,1,0,0,0
309,2005,80000,40000,1,0,0,1
310,2011,106000,50000,0,0,0,0
311,2009,180000,46730,1,0,0,0
312,2015,250000,40000,1,0,0,1
313,2011,350000,80000,0,0,0,0
314,2002,60000,80000,1,0,0,1
315,2018,900000,24000,0,0,0,0
316,2017,700000,21170,0,1,0,0
317,2013,2000000,167223,0,1,1,0
318,2017,1000000,40000,0,0,0,0
319,2011,1375000,60000,0,0,1,0
320,2016,1800000,141440,0,1,0,0
321,2007,160000,120000,0,0,0,2
322,2012,525000,140000,1,0,1,0
323,2012,850000,212814,0,1,0,0
324,2019,800000,30000,0,0,0,0
325,2017,700000,88635,0,1,0,0
326,2018,800000,25000,0,0,0,0
327,2017,575000,20000,1,0,0,1
328,2012,350000,110000,0,0,0,1
329,2008,250000,120000,0,0,0,2
330,2011,600000,149674,0,1,0,1
331,2007,370000,100000,0,0,0,2
332,2006,80000,120000,1,0,0,2
333,2003,50000,120000,0,0,0,1
334,2018,900000,25000,0,0,0,0
335,2014,300000,35000,1,0,0,1
336,2002,125000,40000,1,0,0,0
337,2015,490000,60000,0,0,0,1
338,2012,300000,50000,0,0,0,1
339,2013,55000,25000,1,0,0,3
340,2016,350000,25000,1,0,0,0
341,2019,755000,8000,0,0,0,0
342,2017,720000,60000,0,0,0,0
343,2006,229999,200000,0,0,0,2
344,2018,1100000,20000,0,0,0,0
345,2013,400000,100000,1,0,0,0
346,2015,350000,70000,0,0,0,1
347,2012,159000,68000,0,1,0,0
348,2017,550000,38000,1,1,0,0
349,2013,335000,80000,0,1,0,0
350,2014,185000,72000,2,1,0,0
351,2012,229999,75000,2,1,0,0
352,2014,225000,43000,1,1,0,0
353,2007,250000,120000,1,0,0,1
354,2015,400000,100000,0,0,0,0
355,2014,470000,163000,0,0,0,0
356,2018,300000,25000,1,0,1,0
357,2011,145000,25000,1,0,0,0
358,2007,100000,90000,1,0,0,1
359,2014,500000,70000,0,0,0,1
360,2010,130000,98000,2,0,0,1
361,2010,240000,81925,0,0,0,0
362,2013,150000,80000,0,0,0,1
363,2017,270000,40000,1,0,0,0
364,2014,400000,90000,0,0,0,0
365,2012,200000,46000,1,0,0,0
366,2012,550000,80000,0,0,0,0
367,2018,325000,35000,1,0,0,0
368,2017,860000,82080,0,0,1,0
369,2012,600000,200000,0,0,0,0
370,2009,125000,70000,1,0,0,0
371,2000,60000,40000,1,0,0,2
372,2010,300000,120000,0,0,0,2
373,2007,190000,60000,1,0,0,2
374,2013,400000,110000,0,0,0,0
375,2011,260000,97000,0,0,0,1
376,2017,400000,30000,1,0,0,0
377,2010,250000,40000,1,0,0,0
378,2019,600000,10000,1,0,0,0
379,2010,175000,52047,1,0,0,0
380,2011,450000,200000,0,0,0,2
381,2019,350000,15000,1,0,1,1
382,2018,800000,50000,0,0,0,0
383,2011,250000,70000,1,0,0,1
384,2019,600000,10000,1,0,0,0
385,2017,600000,90000,0,0,0,0
386,2016,130000,40000,1,0,0,0
387,2006,90000,62009,1,0,0,1
388,2017,595000,33100,1,0,0,1
389,2014,190000,40000,1,0,0,1
390,1999,50000,120000,1,0,0,1
391,2007,95000,80000,1,0,0,0
392,2016,1000000,70000,0,0,0,0
393,2006,220000,220000,1,0,0,1
394,2010,400000,50000,0,0,0,0
395,2015,315000,45000,1,0,0,1
396,2014,1000000,110000,0,0,0,0
397,2014,500000,49000,0,0,0,0
398,2018,1600000,35000,0,0,1,0
399,2017,500000,160000,0,0,0,0
400,2007,70000,180000,1,0,0,2
401,2007,105000,60000,1,0,0,1
402,2008,400000,110000,0,0,0,2
403,2004,80000,60000,1,0,0,2
404,2016,300000,30000,1,0,0,0
405,2017,409999,40000,0,0,0,0
406,2009,250000,70000,1,0,0,0
407,2010,250000,120000,0,0,0,1
408,2012,215000,80000,0,0,0,2
409,2015,1400000,120000,0,0,0,0
410,2018,475000,20000,1,0,0,0
411,2018,475000,22000,1,0,0,0
412,2008,75000,35000,1,0,0,1
413,2013,200000,120000,0,0,0,1
414,2019,575000,8000,1,0,0,0
415,2011,150000,40000,0,0,0,1
416,2018,850000,10000,0,0,0,0
417,2019,350000,30000,1,0,0,0
418,2011,550000,54000,0,0,0,1
419,2017,330000,80577,1,0,0,0
420,2017,1044999,25000,0,0,0,0
421,2011,300000,127500,0,0,0,1
422,2015,235000,40903,1,1,0,0
423,2011,120000,60000,1,0,0,2
424,2004,130000,46000,1,0,0,0
425,2004,275000,22288,0,1,0,1
426,2011,270000,180000,0,0,0,1
427,2015,500000,30000,0,0,0,1
428,2015,400000,61690,1,1,0,0
429,2015,600000,64484,1,1,0,0
430,2012,1350000,90000,0,0,1,1
431,2013,400000,75976,0,1,0,1
432,2011,220000,70000,0,0,0,1
433,2012,300000,85962,1,1,0,1
434,2018,250000,120000,1,0,0,0
435,2015,600000,120000,0,0,0,0
436,2012,285000,75000,1,0,1,1
437,2009,350000,57035,1,1,0,0
438,2011,170000,70000,0,0,0,2
439,2015,229999,45000,1,0,0,0
440,2013,500000,72104,0,1,0,1
441,2011,75000,15000,1,0,0,0
442,2016,600000,30000,1,0,0,0
443,2011,220000,80000,0,0,0,0
444,2009,150000,164000,0,0,0,1
445,2006,65000,124439,1,0,0,1
446,2006,120000,77000,1,0,0,1
447,2014,240000,90000,0,0,0,0
448,2017,390000,30000,1,0,0,0
449,2012,180000,50000,1,0,0,0
450,2012,320000,80000,0,0,0,1
451,2018,310000,5000,1,0,0,0
452,2018,420000,24000,1,0,1,0
453,2019,550000,10000,1,0,0,0
454,2016,550000,78000,0,0,0,2
455,2018,760000,50000,0,0,0,0
456,2001,43000,100000,1,0,0,1
457,2018,250000,20000,1,0,0,0
458,2019,500000,1250,1,0,0,0
459,2015,380000,17152,1,0,0,0
460,2019,1850000,5000,0,0,1,0
461,2012,350000,77000,0,0,0,0
462,2008,195000,90000,0,0,0,1
463,2011,225000,80000,1,0,0,1
464,2015,1125000,65000,0,0,0,0
465,2011,133000,80000,0,0,0,0
466,2013,200000,24005,1,0,0,0
467,2018,940000,20000,0,0,0,0
468,2014,400000,120000,0,0,0,0
469,2009,120000,120000,1,0,0,1
470,2015,625000,80000,0,0,0,0
471,2005,110000,80000,1,0,0,0
472,2012,490000,100000,0,0,0,0
473,2009,140000,120000,1,0,0,1
474,2011,175000,149000,0,0,0,1
475,2005,90000,65000,1,0,0,1
476,2009,275000,100000,0,0,0,1
477,2011,300000,65000,0,0,0,1
478,2018,270000,19000,1,0,0,1
479,2010,130000,80000,1,0,0,1
480,2015,275000,30000,1,0,0,0
481,2012,352000,109000,0,0,0,0
482,2012,180000,90000,3,0,0,0
483,2012,150000,90000,1,0,0,0
484,2011,300000,65000,0,0,0,1
485,2010,300000,110000,0,0,0,1
486,2007,225000,120000,0,0,0,0
487,2014,600000,44000,0,0,0,0
488,2015,500000,80000,1,0,0,0
489,2018,900000,5000,1,0,0,0
490,2016,600000,61000,1,0,0,0
491,2011,450000,100000,0,0,0,1
492,2009,270000,27633,1,0,0,0
493,2010,310000,100000,0,0,0,2
494,2012,250000,100000,3,0,0,0
495,2019,700000,12586,1,1,0,0
496,2018,650000,38083,0,1,0,0
497,2012,400000,55328,0,1,0,0
498,2012,425000,81632,0,1,0,0
499,2016,600000,155201,0,1,0,0
500,2013,600000,93283,0,1,0,0
501,2009,300000,217871,0,1,0,0
502,2012,450000,90165,0,1,0,0
503,2014,750000,101504,0,1,0,0
504,2010,325000,86017,0,1,0,1
505,2013,900000,85036,0,1,0,1
506,2006,180000,91086,1,1,0,1
507,2013,350000,160254,0,1,0,1
508,2013,600000,125531,0,1,0,1
509,2019,900000,60000,0,0,0,0
510,2006,350000,100000,0,0,0,0
511,2013,280000,90000,0,0,0,2
512,2009,225000,120000,0,0,0,1
513,2014,520000,82000,0,0,0,0
514,2016,509999,60000,0,0,0,0
515,2019,556000,24000,1,0,0,0
516,2014,225000,120000,0,0,0,0
517,2013,325000,65000,0,1,0,0
518,2013,365000,65000,0,1,0,0
519,2015,850000,84000,0,1,0,0
520,2013,350000,75000,0,1,0,0
521,2007,225000,50000,0,1,0,0
522,2011,135000,50000,1,0,0,0
523,2007,140000,49000,1,1,0,0
524,2016,665000,560000,0,1,0,0
525,2015,275000,14365,1,1,0,0
526,2017,2750000,41000,0,0,1,0
527,2013,484999,65000,0,1,0,0
528,2015,565000,65000,0,1,0,0
529,2013,425000,61083,0,1,0,0
530,2013,925000,75000,0,0,0,0
531,2012,565000,72000,0,1,0,0
532,2014,525000,65000,0,1,0,0
533,2017,1650000,55000,0,1,0,0
534,2015,295000,21000,1,1,0,1
535,2012,2050000,66363,1,1,1,1
536,2018,1475000,11700,1,1,1,0
537,2017,1100000,10000,1,0,1,0
538,2014,4400000,100000,0,0,1,1
539,2016,670000,7104,1,2,0,0
540,2015,750000,45974,0,2,0,0
541,2015,760000,55340,1,2,0,0
542,2017,850000,20000,1,1,1,1
543,2015,390000,61585,0,2,0,0
544,2016,450000,39415,1,2,1,1
545,2014,425000,29654,1,2,0,0
546,2016,770000,64672,0,2,0,0
547,2015,1150000,54634,0,2,1,1
548,2015,775000,66521,1,2,0,0
549,2018,1725000,23974,0,1,1,1
550,2016,2150000,43000,0,1,1,0
551,2013,450000,1000,0,1,0,1
552,2018,3800000,10000,0,1,1,0
553,2013,1580000,86000,0,1,1,0
554,2019,4950000,30000,0,1,1,0
555,2016,535000,52600,0,0,0,0
556,2012,225000,110000,1,0,0,1
557,2017,550000,19890,1,1,1,0
558,2016,670000,7104,1,2,0,0
559,2015,625000,11918,1,2,0,0
560,2017,520000,10510,1,1,1,0
561,2016,239000,41000,1,1,0,0
562,2017,2600000,47162,0,2,1,0
563,2015,750000,45974,0,2,0,0
564,2012,229999,49824,1,1,0,0
565,2013,1300000,58500,0,1,1,0
566,2005,80000,56580,1,1,0,0
567,2012,385000,52000,0,1,0,0
568,2015,760000,55340,1,2,0,0
569,2017,600000,46507,0,2,0,0
570,2013,450000,1000,0,1,0,1
571,2018,3800000,10000,0,1,1,0
572,2013,1580000,86000,0,1,1,0
573,2019,4950000,30000,0,1,1,0
574,2016,535000,52600,0,0,0,0
575,2012,225000,110000,1,0,0,1
576,2017,550000,19890,1,1,1,0
577,2016,670000,7104,1,2,0,0
578,2015,625000,11918,1,2,0,0
579,2017,520000,10510,1,1,1,0
580,2016,239000,41000,1,1,0,0
581,2017,2600000,47162,0,2,1,0
582,2015,750000,45974,0,2,0,0
583,2012,229999,49824,1,1,0,0
584,2013,1300000,58500,0,1,1,0
585,2005,80000,56580,1,1,0,0
586,2012,385000,52000,0,1,0,0
587,2015,760000,55340,1,2,0,0
588,2017,600000,46507,0,2,0,0
589,2013,450000,1000,0,1,0,1
590,2018,3800000,10000,0,1,1,0
591,2013,1580000,86000,0,1,1,0
592,2019,4950000,30000,0,1,1,0
593,2016,535000,52600,0,0,0,0
594,2012,225000,110000,1,0,0,1
595,2017,550000,19890,1,1,1,0
596,2016,670000,7104,1,2,0,0
597,2015,625000,11918,1,2,0,0
598,2017,520000,10510,1,1,1,0
599,2016,239000,41000,1,1,0,0
600,2017,2600000,47162,0,2,1,0
601,2015,750000,45974,0,2,0,0
602,2012,229999,49824,1,1,0,0
603,2013,1300000,58500,0,1,1,0
604,2005,80000,56580,1,1,0,0
605,2012,385000,52000,0,1,0,0
606,2015,760000,55340,1,2,0,0
607,2017,600000,46507,0,2,0,0
608,2013,450000,1000,0,1,0,1
609,2018,3800000,10000,0,1,1,0
610,2013,1580000,86000,0,1,1,0
611,2019,4950000,30000,0,1,1,0
612,2016,535000,52600,0,0,0,0
613,2012,225000,110000,1,0,0,1
614,2017,550000,19890,1,1,1,0
615,2016,670000,7104,1,2,0,0
616,2015,625000,11918,1,2,0,0
617,2017,520000,10510,1,1,1,0
618,2016,239000,41000,1,1,0,0
619,2017,2600000,47162,0,2,1,0
620,2015,750000,45974,0,2,0,0
621,2012,229999,49824,1,1,0,0
622,2013,1300000,58500,0,1,1,0
623,2005,80000,56580,1,1,0,0
624,2012,385000,52000,0,1,0,0
625,2015,760000,55340,1,2,0,0
626,2017,600000,46507,0,2,0,0
627,2013,350000,50000,1,0,0,1
628,2014,114999,30000,1,0,0,0
629,2013,380000,50000,1,0,0,1
630,1995,95000,100000,1,0,0,1
631,2016,900000,35000,0,0,0,0
632,2012,200999,90000,1,0,0,1
633,2014,229999,11451,1,0,0,0
634,2019,800000,60000,0,0,0,0
635,2012,150000,172000,0,0,0,1
636,2018,600000,60000,0,0,0,0
637,2005,150000,150000,0,0,0,0
638,2009,150000,66000,0,0,0,0
639,2019,380000,5000,1,0,0,0
640,2006,80000,66508,1,0,0,1
641,2007,225000,55000,1,0,0,1
642,2012,75000,29900,1,0,0,0
643,2017,1600000,3000,0,0,0,0
644,2012,185000,85000,0,0,0,0
645,2011,425000,50000,0,0,0,0
646,2010,100000,120000,0,0,0,1
647,2008,140000,90000,1,0,0,2
648,2017,710000,8000,1,0,1,0
649,2015,450000,7900,1,0,1,0
650,2017,210000,50000,1,0,0,0
651,2016,270000,25000,1,0,0,0
652,2009,110000,20000,1,0,0,0
653,2018,540000,17500,1,0,0,0
654,2008,145000,25000,1,0,0,0
655,2013,360000,206500,0,0,0,0
656,2013,250000,88600,3,0,0,0
657,2012,110000,80000,0,0,0,0
658,2008,250000,100000,0,0,0,3
659,2011,150000,186000,0,0,0,1
660,2010,140000,60000,1,0,0,0
661,2019,925000,11000,1,0,0,0
662,2017,969999,30000,0,0,0,0
663,2007,90000,80000,2,0,0,2
664,2001,55000,60000,1,0,0,2
665,2007,155000,100000,0,0,0,3
666,2019,900000,15000,0,0,0,0
667,2011,135000,90000,1,0,0,0
668,2012,180000,120000,1,0,0,0
669,2013,495000,100000,0,0,0,1
670,2009,400000,138000,0,0,0,2
671,2008,250000,110000,0,0,0,1
672,2015,138000,120000,1,0,0,3
673,2011,311000,70000,1,0,1,1
674,2015,190000,70000,1,0,0,0
675,2011,311000,140000,0,0,0,0
676,2009,300000,15000,1,0,0,0
677,2018,600000,20000,1,0,0,0
678,2009,550000,100000,0,0,0,0
679,2015,600000,70000,1,0,1,0
680,2018,195000,5000,1,0,0,0
681,2013,58000,27974,1,0,0,0
682,2018,183000,40000,1,0,0,0
683,2007,95000,80000,1,0,0,0
684,2013,250000,38000,1,0,0,0
685,2013,250000,38000,1,0,0,0
686,2014,400000,35000,1,0,0,0
687,2012,409999,60000,0,0,0,1
688,2004,120000,120000,0,0,0,1
689,2018,600000,18000,1,0,1,0
690,2016,600000,10000,1,0,0,0
691,2015,825000,90000,0,0,0,2
692,2016,625000,80000,0,0,0,1
693,2020,700000,1400,0,0,0,0
694,2011,160000,60000,1,0,0,0
695,2011,114999,60000,1,0,0,2
696,2009,150000,53000,1,0,0,0
697,2010,250000,100000,0,1,0,0
698,2012,390000,86000,0,1,0,1
699,2015,650000,100000,0,0,0,0
700,2016,600000,30000,0,0,0,0
701,2011,250000,120000,1,0,0,0
702,2011,229999,60000,3,0,0,1
703,2016,299000,50000,0,0,0,1
704,2010,330000,124000,0,0,0,1
705,2012,180000,100000,1,0,0,2
706,2017,475000,42000,1,0,0,0
707,2015,325000,100000,0,0,0,0
708,2016,639000,28205,1,1,0,0
709,2017,415000,32670,1,1,1,0
710,2016,1199000,30093,0,1,1,0
711,2013,525000,56228,2,1,0,0
712,2013,425000,59319,1,1,0,0
713,2016,699000,39503,0,1,0,0
714,2013,325000,35299,1,1,0,0
715,2011,275000,51687,1,1,0,0
716,2011,269000,76259,1,1,1,0
717,2013,399000,44049,0,1,0,0
718,2017,475000,45087,0,1,0,0
719,2011,249000,41125,1,1,0,0
720,2014,1549000,42215,0,1,1,0
721,2011,254999,54206,1,1,0,0
722,2012,269000,52547,1,1,0,0
723,2014,665000,59110,0,1,0,0
724,2014,299000,54565,1,1,0,0
725,2010,265000,47564,1,1,0,1
726,2010,211000,45143,1,1,0,1
727,2013,599000,61624,1,1,1,1
728,2007,55000,195000,0,0,0,2
